model,max_depth,depth,class,base_best,base_time (best),base_time (all),base_tree nodes,base_tree depth,mod_best,mod_time (best),mod_time (all),mod_tree nodes,mod_tree depth
omdt-tictactoe_vs_random,2,2,worse,0.287,187.66,648.86,3.0,2.0,0.2741,132.26,648.15,3.0,2.0
omdt-tictactoe_vs_random,3,3,worse,0.5514,817.17,845.95,5.0,3.0,0.4896,788.76,851.65,6.0,3.0
omdt-tictactoe_vs_random,4,4,improved_tree_better_quality,0.3757,756.33,954.57,12.0,4.0,0.4898,794.67,953.4,9.0,4.0
omdt-tictactoe_vs_random,5,5,unknown,0.4799,968.72,1025.0,10.0,5.0,,,,,
omdt-tictactoe_vs_random,5,N/A,unknown,,,,,,,311.44,,,
omdt-tictactoe_vs_random,6,4,unknown,,,,,,0.4492,270.73,1097.36,11.0,4.0
omdt-tictactoe_vs_random,6,5,unknown,0.4287,444.05,1085.22,12.0,5.0,,,,,
omdt-tictactoe_vs_random,7,5,unknown,0.4287,390.69,1171.49,12.0,5.0,,,,,
omdt-tictactoe_vs_random,7,N/A,unknown,,,,,,,171.67,,,
omdt-tictactoe_vs_random,8,8,unknown,0.4651,862.79,1202.59,61.0,8.0,,,,,
omdt-tictactoe_vs_random,8,N/A,unknown,,,,,,,159.08,,,
omdt-traffic_intersection,1,1,tie,-72.0642,0.66,2.84,1.0,1.0,-72.0642,1.46,3.59,1.0,1.0
omdt-traffic_intersection,2,2,tie,-0.2174,164.57,170.02,3.0,2.0,-0.2174,93.53,103.47,3.0,2.0
omdt-traffic_intersection,3,3,worse,0.7606,167.65,764.27,6.0,3.0,0.7097,614.24,702.34,6.0,3.0
omdt-traffic_intersection,4,4,larger_tree_better_quality,2.0631,349.5,902.93,8.0,4.0,2.074,741.33,848.74,9.0,4.0
omdt-traffic_intersection,5,4,unknown,,,,,,2.0709,799.49,943.17,8.0,4.0
omdt-traffic_intersection,5,5,unknown,2.0746,443.81,963.24,9.0,5.0,,,,,
omdt-traffic_intersection,6,5,worse,2.0746,381.93,1004.05,9.0,5.0,2.0648,719.77,1002.95,11.0,5.0
omdt-traffic_intersection,7,5,unknown,2.0746,331.65,1034.12,9.0,5.0,,,,,
omdt-traffic_intersection,7,7,unknown,,,,,,2.1202,742.12,1035.68,17.0,7.0
omdt-traffic_intersection,8,7,unknown,2.0754,489.95,1060.17,11.0,7.0,,,,,
omdt-traffic_intersection,8,8,unknown,,,,,,2.1245,462.24,462.79,25.0,8.0
qcomp-firewire-3,1,1,unknown,-70.5254,10.77,352.81,1.0,1.0,,,,,
qcomp-firewire-3,1,N/A,unknown,,,,,,,35.13,,,
